[SPRITES]
90001	136	70	223	149	22
90002	235	38	450	149	22
90003	247	270	318	301	22
90004	170	294	233	301	22
#DECORATIVE CLOUD
#top left
90113	88	32	94	47	30
#top middle
90114	94	32	113	47	30
#top right
90115	113	32	119	47	30
#bottom left
90213	137	32	143	47	30
#bottom middle
90214	143	32	162	47	30
#bottom right
90215	162	32	168	47	30
#SMALL SHRUB
90116	160	112	175	127	30
#BIG SHRUB
#Top left
90117	112	48	127	63	30
#Top right
90118	128	48	143	63	30
#Middle left
90119	64	64	79	79	30
#Middle right
90120	0	96	15	111	30
#Middle left most
90121	48	64	63	79	30
#middle right most
90122	16	80	31	95	30
#Body
90123	0	80	15	95	30
