# id	left	top	right	bottom	texture_id
[SPRITES]
######################### GREEN KOOPAS
#WALK RIGHT
41000	582	118	598	145	40
41001	601	119	617	145	40

#WALK LEFT
41010	50	118	66	145	40
41011	31	119	47	145	40

#SPIN RIGHT
41200	600	149	616	165	40
41201	579	148	595	164	40
41202	558	148	574	164	40

#SPIN LEFT
41210	32	149	48	165	40
41211	53	148	69	164	40
41212	74	148	90	164	40

#FLY RIGHT
43000	506	129	521	156	40
43001	527	129	543	156	40
43002	548	129	564	156	40

#FLY LEFT
43010	147	129	163	156	40
43011	126	129	142	156	40
43012	105	129	121	156	40

#LAND RIGHT & LEFT
43110	485	129	501	156	40
43111	147	129	162	156	40

#SHAKE
44000	74	127	94	142	40

#SHAKE UPSIDE DOWN
44001	352	126	369	141	40

#UPSIDE DOWN
43200	327	125	342	141	40

################################### RED KOOPAS
#WALK RIGHT
46000	585	66	601	92	40
46001	604	67	620	92	40

#WALK LEFT
46010	47	66	63	92	40
46011	28	67	44	92	40

#SPIN RIGHT
47200	603	97	619	112	40
47201	582	96	598	111	40
47202	561	96	577	111	40

#SPIN LEFT
47210	29	97	45	112	40
47211	50	96	66	111	40
47212	71	96	87	111	40

#FLY RIGHT
48000	506	93	521	119	40
48001	527	94	543	120	40
48002	548	94	564	120	40

#FLY LEFT
48010	147	93	163	119	40
48011	126	94	142	120	40
48012	105	94	121	120	40

#LAND RIGHT & LEFT
48110	485	93	501	119	40
48111	147	93	162	119	40

#SHAKE
49000	71	75	91	90	40

#SHAKE UPSIDE DOWN
49001	349	74	366	89	40

#UPSIDE DOWN
48200	324	74	339	90	40
