# list of object assets to load in this scene
[ASSETS]
HUD.txt
mario.txt
coin.txt
secret_map_objects.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

#COIN
4	240	140
4	255	140
4	225	125
4	270	125
4	270	110
4	240	95
4	255	95
4	270	80
4	225	65
4	270	65
4	240	50
4	255	50

#Platform
5	0	195	15	15	32	10004	10004	10004
5	0	180	15	15	32	10004	10004	10004
5	0	165	15	15	8	10004	10004	10004
5	0	150	15	15	8	10004	10004	10004
5	0	135	15	15	8	10004	10004	10004
5	0	120	15	15	8	10004	10004	10004
5	0	105	15	15	8	10004	10004	10004
5	0	90	15	15	8	10004	10004	10004
5	0	75	15	15	8	10004	10004	10004
5	0	60	15	15	8	10004	10004	10004
5	285	165	15	15	16	10004	10004	10004
5	300	150	15	15	15	10004	10004	10004
5	315	135	15	15	14	10004	10004	10004
5	330	120	15	15	13	10004	10004	10004
5	345	105	15	15	12	10004	10004	10004
5	360	90	15	15	11	10004	10004	10004
5	0	45	15	15	8	10004	10004	10004
5	0	30	15	15	8	10004	10004	10004
5	120	45	15	15	2	10002	10002	10003
5	120	30	15	15	2	10000	10000	10001
5	150	30	15	15	16	10004	10004	10004
5	390	45	15	15	2	10002	10002	10003
5	390	30	15	15	2	10000	10000	10001
5	420	75	15	15	7	10004	10004	10004
5	420	60	15	15	7	10004	10004	10004
5	420	45	15	15	7	10004	10004	10004
5	420	30	15	15	7	10004	10004	10004
5	0	15	15	15	8	10004	10004	10004
5	0	0	15	15	8	10004	10004	10004
5	0	-15	15	15	8	10004	10004	10004

#PORTAL
50	397	30	427	90	5	2327	155	1	

