[SPRITES]
# ====	HUD ====
99999	11	1	272	32	60
# ---- icon MARIO ---- 
99998	15	160	33	169	80
# ==== FONT ====
#font - 0
50013	77	31	84	37	80
#font - 1
50014	88	31	93	37	80
#font - 2
50015	97	31	104	37	80
#font - 3
50016	107	31	114	37	80
#font - 4
50017	117	31	124	37	80
#font - 5
50018	127	31	134	37	80
#font - 6
50019	137	31	144	37	80
#font - 7
50020	147	31	154	37	80
#font - 8
50021	157	31	164	37	80
#font - 9
50022	167	31	174	37	80
#font - A
50023	177	31	184	37	80
#font - B
50024	187	31	194	37	80
#font - C
50025	77	41	84	48	80
#font - D
50026	87	41	94	48	80
#font - E
50027	97	41	104	48	80
#font - F
50028	107	41	114	48	80
#font - G
50029	117	41	124	48	80
#font - H
50030	127	41	134	48	80
#font - I
50031	137	41	144	48	80
#font - J
50032	147	41	154	48	80
#font - K
50033	157	41	164	48	80
#font - L
50034	167	41	174	48	80
#font - M
50035	177	41	184	48	80
#font - N
50036	187	41	194	48	80
#font - O
50037	77	51	84	58	80
#font - P
50038	87	51	94	58	80
#font - Q
50039	97	51	104	58	80
#font - R
50040	107	51	114	58	80
#font - S
50041	117	51	124	58	80
#font - T
50042	127	51	134	58	80
#font - U
50043	137	51	144	58	80
#font - V
50044	147	51	154	58	80
#font - W
50045	157	51	164	58	80
#font - X
50046	167	51	174	58	80
#font - Y
50047	177	51	184	58	80
#font - Z
50048	187	51	194	58	80
#==========EFFECT POINT===================
#100
50049	60	89	71	96	80
#200
50050	75	89	86	96	80
#400
50051	90	89	101	96	80
#800
50052	105	89	116	96	80
#1000
50053	120	89	134	96	80
#2000
50054	138	89	153	96	80
#4000
50055	157	89	172	96	80
#8000
50056	176	89	191	96	80
#1UP
50057	195	89	210	96	80
