[SPRITES]
#BUSH
10001	6	14	21	29	130
10002	26	14	41	29	130
10003	46	14	61	29	130
##NODES
#START
10010	6	93	21	108	130
#CLEAR
10011	272	93	288	109	140
#FORTRESS
10015	333	93	349	109	140
#FORTRESS (DESTROYED)
10016	354	95	370	109	140
#DOOR
10016	394	93	410	109	140
#TOAD'S HOUSE
10017	374	93	390	109	140
#CASTLE
10018	185	133	200	150	130
19018	220	133	235	150	130
#LEVEL 1
10019	36	34	49	47	200
#LEVEL 2
10020	53	34	66	47	200
#LEVEL 3
10021	70	34	83	47	200
#LEVEL 4
10022	87	34	100	47	200
#LEVEL 5
10023	104	34	117	47	200
#LEVEL 6
10024	121	34	134	47	200
#HAMMER BROTHER
#left
10025	87	75	102	89	130
10026	108	74	123	89	130
10027	128	80	143	89	130
#right
10125	190	75	205	89	130
10126	169	74	184	89	130
10127	149	80	164	89	130
#INVISIBLE
10099	466	141	482	165	140
##MARIO
#SMALL
11001	252	116	266	132	140
11002	272	116	286	132	140
#BIG
#11003	292	116	308	137	140
#11004	312	116	328	137	140
11003	6	116	19	131	130
11004	26	116	39	131	130
#RACCOON
11005	333	113	349	137	140
11006	354	113	370	137	140
[ANIMATIONS]
#BUSH
401	10001	300	10002	300	10003	300
#START
402	10010	100
#LEVEL 1
403	10019	100
#LEVEL 2
404	10020	100
#LEVEL 3
405	10021	100
#LEVEL 4
406	10022	100
#LEVEL 5
407	10023	100
#LEVEL 6
408	10024	100
#HAMMER BROTHER
#left
421	10025	250	10026	250
#right
420	10125	250	10126	250
#CLEAR
409	10011	100
#FORTRESS
412	19018	400	10018	1000
499	10099	400
#SMALL MARIO
501	11001	100	11002	100
#BIG MARIO
502	11003	100	11004	100
#RACCOON
503	11005	100	11006	100
[OBJECTS]
1	16	16	4	401
1	32	16	4	401
1	48	16	4	401
1	16	32	4	401
1	32	32	4	401
1	48	32	4	401
1	16	64	4	401
1	32	64	4	401
1	48	64	4	401
1	16	80	4	401
1	16	80	4	401
1	48	80	4	401
1	16	96	4	401
1	80	32	4	401
1	96	32	4	401
1	112	32	4	401
1	80	48	4	401
1	96	48	4	401
1	112	48	4	401
1	80	64	4	401
1	96	64	4	401
1	112	64	4	401
1	144	32	4	401
1	160	32	4	401
1	176	32	4	401
1	208	16	4	401
1	224	16	4	401
1	208	32	4	401
1	224	32	4	401
1	208	48	4	401
1	224	48	4	401
1	208	64	4	401
1	224	64	4	401
1	144	64	4	401
1	160	64	4	401
1	176	64	4	401
1	192	64	4	401
1	224	80	4	401
1	224	96	4	401
1	224	112	4	401
1	224	128	4	401
1	224	144	4	401
1	144	80	4	401
1	160	80	4	401
1	128	96	4	401
1	112	96	4	401
1	96	96	4	401
#====HAMMER-BROTHER====
#3	64	81	5	421
#objID	X	Y	left	top	right	bottom	sceneID
#PORTAL								
#3	32	49	0	0	1	0	0
#3	64	17	0	0	1	1	5
#3	64	145	0	1	1	0	0
#3	128	17	1	0	1	1	0
#3	128	145	1	1	0	0	0
#3	128	81	1	1	0	0	0
#3	160	17	1	0	1	0	0
#3	160	49	1	0	1	0	0
#3	191	94	1	0	0	0	0
#NODE									
#2	64	49	1	1	0	0	0
#2	96	17	1	0	1	0	0
#2	192	17	1	0	0	1	0
#2	128	49	0	1	1	1	0
#2	192	49	1	1	0	0	0
#2	96	81	1	0	1	0	0
#2	64	81	0	0	1	1	0
#2	96	113	0	0	1	0	0
#2	128	113	1	0	1	1	0
#2	160	113	1	0	1	0	0
#2	192	113	1	0	0	0	0
#2	64	113	0	1	0	1	0
#2	96	145	1	0	1	0	0
#MARIO
0	32	48
