# list of object assets to load in this scene
[ASSETS]
HUD.txt
mario.txt
coin.txt
platform.txt
goomba.txt
koopa.txt
piranha_and_firetrap.txt
question_block.txt
decoration.txt
powerup.txt
brick.txt
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h
# MARIO
#0	30	178
#0	500	100
#0	1420	-75
#0	2000	100
#0	1312	-230
0	2260	-120

#Decoration
7	18	178	15	15	90121
7	33	178	15	15	90123
7	48	178	15	15	90123
7	63	178	15	15	90123
7	78	178	15	15	90119
7	93	178	15	15	90120
7	108	178	15	15	90123
7	123	178	15	15	90122
7	18	163	15	15	90121
7	33	163	15	15	90119
7	48	163	15	15	90120
7	63	163	15	15	90123
7	78	163	15	15	90122
7	93	163	15	15	90121
7	108	163	15	15	90119
7	123	163	15	15	90118
7	18	148	15	15	90117
7	33	148	15	15	90120
7	48	148	15	15	90122
7	63	148	15	15	90117
7	78	148	15	15	90118
7	93	148	15	15	90117
7	108	148	15	15	90118
7	33	133	15	15	90117
7	48	133	15	15	90118
7	160	178	15	15	90116
7	175	178	15	15	90116
7	190	178	15	15	90116
7	114	63	6	15	90113
7	126	63	19	15	90114
7	145	63	19	15	90114
7	157	63	6	15	90115
7	114	78	6	15	90213
7	126	78	19	15	90214
7	145	78	19	15	90214
7	157	78	6	15	90215
7	328	47	6	15	90113
7	340	47	6	15	90114
7	352	47	6	15	90115
7	328	62	6	15	90213
7	340	62	6	15	90214
7	352	62	6	15	90215
7	672	163	15	15	90116
7	687	163	15	15	90116
7	702	163	15	15	90116
7	717	163	15	15	90116
7	732	163	15	15	90116
7	747	163	15	15	90116
7	762	163	15	15	90116
7	1040	163	15	15	90116
7	1055	163	15	15	90116
7	817	163	15	15	90117
7	832	163	15	15	90120
7	847	163	15	15	90123
7	862	163	15	15	90123
7	877	163	15	15	90123
7	892	163	15	15	90123
7	907	163	15	15	90123
7	922	163	15	15	90122
7	937	163	15	15	90117
7	952	163	15	15	90120
7	967	163	15	15	90123
7	982	163	15	15	90122
7	832	148	15	15	90121
7	847	148	15	15	90119
7	862	148	15	15	90120
7	877	148	15	15	90119
7	892	148	15	15	90120
7	907	148	15	15	90123
7	922	148	15	15	90122
7	952	148	15	15	90121
7	967	148	15	15	90119
7	982	148	15	15	90118
7	832	133	15	15	90117
7	847	133	15	15	90118
7	862	133	15	15	90117
7	877	133	15	15	90120
7	892	133	15	15	90122
7	907	133	15	15	90117
7	922	133	15	15	90118
7	952	133	15	15	90117
7	967	133	15	15	90118
7	877	118	15	15	90117
7	892	118	15	15	90118
7	648	45	6	15	90113
7	660	45	19	15	90114
7	672	45	6	15	90115
7	648	60	6	15	90213
7	660	60	19	15	90214
7	672	60	6	15	90215
